PRCSNAME,PRCSTYPE,OPRID,TSECONDS
DRILLDWN,nVision-Report,c.caezza,26.439573
PO_RECVPUSH,Application Engine,t.nowlin,15.009569
PORQ010,SQR Report,t.nowlin,11.919992
NVSRUN,nVision-Report,c.stern,23.702173
AP_MATCH,Application Engine,l.cator,75.085891
VCHR_APRV_AF,Application Engine,l.cator,45.170641
DRILLDWN,nVision-Report,d.black,11.566473
NVSRUN,nVision-Report,d.black,74.425195
NVSRUN,nVision-Report,d.black,54.32738
DRILLDWN,nVision-Report,d.black,13.883542
PORQ010,SQR Report,t.nowlin,12.496685
DRILLDWN,nVision-Report,d.black,12.10199
PORQ010,SQR Report,r.bell,13.451406
DRILLDWN,nVision-Report,d.black,11.439992
VFSA0001,Application Engine,PSFINBATCH,15.04212
DRILLDWN,nVision-Report,d.black,26.686809
PV_AUTO_SRC,Application Engine,r.bell,45.040317
POPO005,SQR Report,r.bell,10.819268
POPO005,SQR Process,r.bell,12.257584
PO_PO_EMAIL,Application Engine,r.bell,15.115596
POPO005,SQR Report,t.nowlin,10.970658
POPO005,SQR Report,t.nowlin,11.02876
FS_STREAMLN,Application Engine,tr.johnson,15.015992
FS_STREAMLN,Application Engine,tr.johnson,15.008762
FS_STREAMLN,Application Engine,tr.johnson,15.01297
FS_STREAMLN,Application Engine,tr.johnson,15.021334
FS_STREAMLN,Application Engine,tr.johnson,15.01088
FS_STREAMLN,Application Engine,tr.johnson,15.009641
PO_POREOPEN,Application Engine,r.bell,15.013235
POPO005,SQR Process,t.nowlin,12.565857
PO_PO_EMAIL,Application Engine,t.nowlin,15.003336
NVSRUN,nVision-Report,m.sutton,69.558457
DRILLDWN,nVision-Report,m.sutton,56.307669
FS_STREAMLN,Application Engine,tr.johnson,15.03442
POPO005,SQR Report,r.bell,11.200728
FS_STREAMLN,Application Engine,tr.johnson,15.012045
FS_STREAMLN,Application Engine,tr.johnson,15.025404
FS_STREAMLN,Application Engine,tr.johnson,15.011519
FS_STREAMLN,Application Engine,tr.johnson,15.007652
POPO005,SQR Process,r.bell,12.317755
PO_PO_EMAIL,Application Engine,r.bell,15.0185
PORQ010,SQR Report,t.nowlin,14.022844
NVSRUN,nVision-Report,d.black,11.81397
DRILLDWN,nVision-Report,d.black,13.957351
POPO005,SQR Report,r.bell,10.697187
POPO005,SQR Process,r.bell,12.210242
PO_PO_EMAIL,Application Engine,r.bell,15.006187
NVSRUN,nVision-Report,m.elbeck,23.70252
NVSRUN,nVision-Report,m.elbeck,23.849879
NVSRUN,nVision-Report,j.sadusky,28.796632
DRILLDWN,nVision-Report,m.sutton,26.499831
DRILLDWN,nVision-Report,j.sadusky,13.895632
VFSA0001,Application Engine,PSFINBATCH,15.017377
PO_RECVPUSH,Application Engine,r.johnson,14.997966
PO_RECVPUSH,Application Engine,r.johnson,15.007055
PO_RECVPUSH,Application Engine,r.johnson,15.240347
PO_RECVPUSH,Application Engine,r.johnson,15.010627
PO_RECVPUSH,Application Engine,r.johnson,15.013137
PO_RECVPUSH,Application Engine,r.johnson,15.011481
DRILLDWN,nVision-Report,k.bott,11.896493
V_BILLTR,SQR Report,b.stephens,11.580531
ECIN0001,SQR Report,b.stephens,13.71169
AP_VCHRBLD,Application Engine,b.stephens,45.008958
VFSA0001,Application Engine,PSFINBATCH,15.033179
PRCSYSPURGE,Application Engine,PSFINSERV,44.69586
PSXP_DIRCLN,Application Engine,PSFINSERV,15.007888
PRCSSRVCLN,Application Engine,PSFINSERV,18.237223
PSXPARCHATTR,Application Engine,PSFINSERV,14.134683
PSXP_DIRCLN,Application Engine,PSFINSERV,12.872259
VGLA0001,Application Engine,NVBATCH,74.718946
RPTBOOK,nVision-ReportBook,NVBATCH,266.330098
RPTBOOK,nVision-ReportBook,NVBATCH,901.99989
RPTBOOK,nVision-ReportBook,NVBATCH,765.09629
RPTBOOK,nVision-ReportBook,NVBATCH,450.529766
RPTBOOK,nVision-ReportBook,NVBATCH,313.938037
RPTBOOK,nVision-ReportBook,NVBATCH,13.167722
RPTBOOK,nVision-ReportBook,NVBATCH,160.724815
RPTBOOK,nVision-ReportBook,NVBATCH,179.869405
VAPA0003,Application Engine,PSFINBATCH,16.012248
APY1090-,Crystal,PSFINBATCH,28.584006
APY1090-,Crystal,PSFINBATCH,9.792599
APY1090-,Crystal,PSFINBATCH,12.106366
APY1090-,Crystal,PSFINBATCH,12.142294
APY1090-,Crystal,PSFINBATCH,12.037861
VAPA0004,Application Engine,PSFINBATCH,15.042057
VAPA0003,Application Engine,PSFINBATCH,15.016696
AP_VCHRBLD,Application Engine,PSFINBATCH,30.035505
VAPA0005,Application Engine,PSFINBATCH,15.011404
VFSA0001,Application Engine,PSFINBATCH,13.82723
PORQ010,SQR Report,t.nowlin,11.950983
VFSA0001,Application Engine,PSFINBATCH,14.89552
AP_PSTPYMNT,Application Engine,tr.johnson,14.473823
AP_PSTVCHR,Application Engine,tr.johnson,15.461714
AP_MATCH,Application Engine,tr.johnson,60.076829
AP_APY2015,Application Engine,tr.johnson,30.040807
APY2021-,Crystal Check,tr.johnson,7.00801
AP_APY2050,Application Engine,tr.johnson,15.012301
AP_APY2055,Application Engine,tr.johnson,15.02683
AP_APY2015,Application Engine,tr.johnson,15.023434
AP_APY2015,Application Engine,tr.johnson,15.013809
AP_EMAIL_ADV,Application Engine,tr.johnson,15.023974
NVSRUN,nVision-Report,d.black,74.878616
FIN2025,SQR Process,tr.johnson,11.951913
PV_AUTO_SRC,Application Engine,t.nowlin,44.904237
DRILLDWN,nVision-Report,d.black,26.869398
POPO005,SQR Report,t.nowlin,8.57793
AP_APY2015,Application Engine,tr.johnson,30.03486
AP_APY2050,Application Engine,tr.johnson,15.033879
APY2021-,Crystal Check,tr.johnson,6.829789
AP_APY2055,Application Engine,tr.johnson,15.016055
POPO005,SQR Process,t.nowlin,12.778583
PO_PO_EMAIL,Application Engine,t.nowlin,14.76473
AP_APY2015,Application Engine,tr.johnson,15.028582
AP_APY2015,Application Engine,tr.johnson,15.035259
AP_APY2050,Application Engine,tr.johnson,15.036946
APY2021-,Crystal Check,tr.johnson,10.221177
AP_APY2055,Application Engine,tr.johnson,15.034964
AP_APY2015,Application Engine,tr.johnson,15.054569
PORQ010,SQR Report,r.bell,14.303903
AP_APY2015,Application Engine,tr.johnson,15.012292
AP_EMAIL_ADV,Application Engine,tr.johnson,105.536934
FIN2025,SQR Process,tr.johnson,13.459006
NVSRUN,nVision-Report,a.davis,22.33177
NVSRUN,nVision-Report,a.davis,13.927468
DRILLDWN,nVision-Report,d.black,12.366453
APY2027-,Crystal Check,tr.johnson,11.457353
DRILLDWN,nVision-Report,a.davis,13.941445
NVSRUN,nVision-Report,c.caezza,23.974254
DRILLDWN,nVision-Report,d.black,13.981063
DRILLDWN,nVision-Report,d.black,13.968506
PO_RECVPUSH,Application Engine,r.bell,15.020824
DRILLDWN,nVision-Report,d.black,14.03316
VFSA0001,Application Engine,PSFINBATCH,14.977463
DRILLDWN,nVision-Report,d.black,14.037264
NVSRUN,nVision-Report,j.sadusky,68.556463
AP_APY2015,Application Engine,l.cator,15.001167
DRILLDWN,nVision-Report,a.davis,12.915346
NVSRUN,nVision-Report,d.robinson,13.787165
AP_APY2015,Application Engine,l.cator,15.072903
DRILLDWN,nVision-Report,j.sadusky,28.87254
DRILLDWN,nVision-Report,d.black,13.959881
AP_EMAIL_ADV,Application Engine,l.cator,15.007208
NVSRUN,nVision-Report,v.wester,29.760139
DRILLDWN,nVision-Report,d.robinson,13.953465
GL_JEDIT_0,Application Engine,l.bratton,15.00191
GL_JP,Application Engine,l.bratton,15.015584
GL_JEDIT_0,Application Engine,l.bratton,15.003413
GL_JP,Application Engine,l.bratton,15.009739
NVSRUN,nVision-Report,l.bratton,83.958367
PORQ010,SQR Report,r.bell,12.872874
FIN2025,SQR Process,l.cator,13.045866
DRILLDWN,nVision-Report,d.black,27.155759
GL_JEDIT_0,Application Engine,l.bratton,15.02107
GL_JP,Application Engine,l.bratton,15.005904
NVSRUN,nVision-Report,l.bratton,53.77779
NVSRUN,nVision-Report,d.robinson,58.939097
DRILLDWN,nVision-Report,d.black,13.960071
V_AM1400,SQR Report,d.robinson,1008.850076
V_AM1500,SQR Report,d.robinson,188.91078
VGLA0003,Application Engine,l.bratton,15.008724
VGLA0003,Application Engine,l.bratton,15.011825
VGLA0003,Application Engine,l.bratton,15.020677
VGLA0003,Application Engine,l.bratton,15.001358
DRILLDWN,nVision-Report,d.black,14.014404
PORQ010,SQR Report,r.bell,13.765442
FS_STREAMLN,Application Engine,k.braase,15.003293
FS_STREAMLN,Application Engine,k.braase,15.059663
FS_STREAMLN,Application Engine,k.braase,15.024591
FS_STREAMLN,Application Engine,k.braase,15.009696
FS_STREAMLN,Application Engine,k.braase,15.019556
FS_STREAMLN,Application Engine,k.braase,15.013329
DRILLDWN,nVision-Report,d.black,13.996904
PORQ010,SQR Report,t.nowlin,12.865601
PORQ010,SQR Report,r.bell,14.001798
PORQ010,SQR Report,r.bell,14.087482
VPTA0001,Application Engine,PSFINBATCH,15.001524
VFSA0001,Application Engine,PSFINBATCH,15.022054
VPOA0002,Application Engine,PSFINBATCH,15.016737
DRILLDWN,nVision-Report,c.caezza,12.076882
